None	Gy is limited to the tumor bed . 1.8 Gy fractions x 25 fractions for an initial dose of 45 Gy , which is followed by a 1.8 Gy x 3 fraction ( 5.4 Gy total ) boost to the tumor bed and adjacent lymph nodes , and then optionally a <RT_DOSE-START> 1.8 Gy <RT_DOSE-END> x 2 fraction ( 3.6 Gy total ) boost to the tumor bed and a 2 cm margin if the small bowel could be avoided 1.80 Gy for 25 fractions ( 45 Gy ) , with boost depending on stage 1.8 Gy fractions x 28 fractions given <FractionFrequency-START> 5 days per week <FractionFrequency-END>
None	bed . 1.8 Gy fractions x 25 fractions for an initial dose of 45 Gy , which is followed by a 1.8 Gy x 3 fraction ( 5.4 Gy total ) boost to the tumor bed and adjacent lymph nodes , and then optionally a 1.8 Gy x 2 fraction ( <RT_DOSE-START> 3.6 Gy <RT_DOSE-END> total ) boost to the tumor bed and a 2 cm margin if the small bowel could be avoided 1.80 Gy for 25 fractions ( 45 Gy ) , with boost depending on stage 1.8 Gy fractions x 28 fractions given <FractionFrequency-START> 5 days per week <FractionFrequency-END> , for a total dose of
None	1.8 Gy x 3 fraction ( 5.4 Gy total ) boost to the tumor bed and adjacent lymph nodes , and then optionally a 1.8 Gy x 2 fraction ( 3.6 Gy total ) boost to the tumor bed and a 2 cm margin if the small bowel could be avoided <RT_DOSE-START> 1.80 Gy <RT_DOSE-END> for 25 fractions ( 45 Gy ) , with boost depending on stage 1.8 Gy fractions x 28 fractions given <FractionFrequency-START> 5 days per week <FractionFrequency-END> , for a total dose of 50.4 Gy . The last 5.4 Gy of the 50.4 Gy is limited to the tumor bed . 172 cGy
None	5.4 Gy total ) boost to the tumor bed and adjacent lymph nodes , and then optionally a 1.8 Gy x 2 fraction ( 3.6 Gy total ) boost to the tumor bed and a 2 cm margin if the small bowel could be avoided 1.80 Gy for 25 fractions ( <RT_DOSE-START> 45 Gy <RT_DOSE-END> ) , with boost depending on stage 1.8 Gy fractions x 28 fractions given <FractionFrequency-START> 5 days per week <FractionFrequency-END> , for a total dose of 50.4 Gy . The last 5.4 Gy of the 50.4 Gy is limited to the tumor bed . 172 cGy ( rads ) fractions x 25
DOSE-FXFREQ	adjacent lymph nodes , and then optionally a 1.8 Gy x 2 fraction ( 3.6 Gy total ) boost to the tumor bed and a 2 cm margin if the small bowel could be avoided 1.80 Gy for 25 fractions ( 45 Gy ) , with boost depending on stage <RT_DOSE-START> 1.8 Gy <RT_DOSE-END> fractions x 28 fractions given <FractionFrequency-START> 5 days per week <FractionFrequency-END> , for a total dose of 50.4 Gy . The last 5.4 Gy of the 50.4 Gy is limited to the tumor bed . 172 cGy ( rads ) fractions x 25 fractions , given over 5 weeks for a total dose
DOSE-FXFREQ	) boost to the tumor bed and a 2 cm margin if the small bowel could be avoided 1.80 Gy for 25 fractions ( 45 Gy ) , with boost depending on stage 1.8 Gy fractions x 28 fractions given <FractionFrequency-START> 5 days per week <FractionFrequency-END> , for a total dose of <RT_DOSE-START> 50.4 Gy <RT_DOSE-END> . The last 5.4 Gy of the 50.4 Gy is limited to the tumor bed . 172 cGy ( rads ) fractions x 25 fractions , given over 5 weeks for a total dose of 4300 cGy ( 4300 rads ) , then coned-down boost of 172 cGy ( rads )
None	and a 2 cm margin if the small bowel could be avoided 1.80 Gy for 25 fractions ( 45 Gy ) , with boost depending on stage 1.8 Gy fractions x 28 fractions given <FractionFrequency-START> 5 days per week <FractionFrequency-END> , for a total dose of 50.4 Gy . The last <RT_DOSE-START> 5.4 Gy <RT_DOSE-END> of the 50.4 Gy is limited to the tumor bed . 172 cGy ( rads ) fractions x 25 fractions , given over 5 weeks for a total dose of 4300 cGy ( 4300 rads ) , then coned-down boost of 172 cGy ( rads ) fractions x 10 fractions , given
None	Gy for 25 fractions ( 45 Gy ) , with boost depending on stage 1.8 Gy fractions x 28 fractions given <FractionFrequency-START> 5 days per week <FractionFrequency-END> , for a total dose of 50.4 Gy . The last 5.4 Gy of the 50.4 Gy is limited to the tumor bed . <RT_DOSE-START> 172 cGy <RT_DOSE-END> ( rads ) fractions x 25 fractions , given over 5 weeks for a total dose of 4300 cGy ( 4300 rads ) , then coned-down boost of 172 cGy ( rads ) fractions x 10 fractions , given over 2 weeks for a dose of 1720 cGy ( rads ) , and
None	28 fractions given <FractionFrequency-START> 5 days per week <FractionFrequency-END> , for a total dose of 50.4 Gy . The last 5.4 Gy of the 50.4 Gy is limited to the tumor bed . 172 cGy ( rads ) fractions x 25 fractions , given over 5 weeks for a total dose of <RT_DOSE-START> 4300 cGy <RT_DOSE-END> ( 4300 rads ) , then coned-down boost of 172 cGy ( rads ) fractions x 10 fractions , given over 2 weeks for a dose of 1720 cGy ( rads ) , and a total cumulative dose of 6020 cGy ( rads ) 1.8 Gy fractions x 28 fractions , total
None	volume ( PTV-1 ) ; then a boost of 1.8 Gy fractions x 5 fractions , total boost dose of 9 Gy to the PTV-2 , for a total cumulative dose of 59.4 Gy 1.80 Gy fractions x 25 fractions , for a total dose of 45 Gy , followed by <RT_DOSE-START> 1.80 Gy <RT_DOSE-END> x 3 fractions boost to the tumor bed ( total dose of 50.4 Gy ) 1.8 Gy fractions x 28 fractions , for a total dose of 50.4 Gy 1.7 Gy fractions x ~ 32 fractions ( total dose : 54 Gy ) , given <FractionFrequency-START> 5 times per week , <FractionFrequency-END> with
None	fractions , total boost dose of 9 Gy to the PTV-2 , for a total cumulative dose of 59.4 Gy 1.80 Gy fractions x 25 fractions , for a total dose of 45 Gy , followed by 1.80 Gy x 3 fractions boost to the tumor bed ( total dose of <RT_DOSE-START> 50.4 Gy <RT_DOSE-END> ) 1.8 Gy fractions x 28 fractions , for a total dose of 50.4 Gy 1.7 Gy fractions x ~ 32 fractions ( total dose : 54 Gy ) , given <FractionFrequency-START> 5 times per week , <FractionFrequency-END> with boost to primary site and / or cervical lymph nodes with 1.8 to 2
